name,year,team_name,age,lg_name,pos_name,PTS,AST
Alaa Abdelnaby,1991,Portland Trail Blazers,22,NBA,PF,135,12
Alaa Abdelnaby,1992,Portland Trail Blazers,23,NBA,PF,432,30
Alaa Abdelnaby,1993,TOT,24,NBA,PF,578,27
Alaa Abdelnaby,1994,Boston Celtics,25,NBA,PF,64,3
Alaa Abdelnaby,1995,TOT,26,NBA,PF,256,13
Zaid Abdul-Aziz,1969,TOT,22,NBA,C,358,37
Zaid Abdul-Aziz,1970,Milwaukee Bucks,23,NBA,PF,593,62
Zaid Abdul-Aziz,1971,Oklahoma City Thunder,24,NBA,C,665,42
Zaid Abdul-Aziz,1972,Oklahoma City Thunder,25,NBA,C,798,124
Zaid Abdul-Aziz,1973,Houston Rockets,26,NBA,C,417,53
Zaid Abdul-Aziz,1974,Houston Rockets,27,NBA,C,865,166
Zaid Abdul-Aziz,1975,Houston Rockets,28,NBA,C,629,84
Zaid Abdul-Aziz,1976,Oklahoma City Thunder,29,NBA,C,86,16
Zaid Abdul-Aziz,1977,Los Angeles Clippers,30,NBA,C,83,7
Zaid Abdul-Aziz,1978,TOT,31,NBA,C,63,10
Kareem Abdul-Jabbar,1970,Milwaukee Bucks,22,NBA,C,2361,337
Kareem Abdul-Jabbar,1971,Milwaukee Bucks,23,NBA,C,2596,272
Kareem Abdul-Jabbar,1972,Milwaukee Bucks,24,NBA,C,2822,370
Kareem Abdul-Jabbar,1973,Milwaukee Bucks,25,NBA,C,2292,379
Kareem Abdul-Jabbar,1974,Milwaukee Bucks,26,NBA,C,2191,386
Kareem Abdul-Jabbar,1975,Milwaukee Bucks,27,NBA,C,1949,264
Kareem Abdul-Jabbar,1976,Los Angeles Lakers,28,NBA,C,2275,413
Kareem Abdul-Jabbar,1977,Los Angeles Lakers,29,NBA,C,2152,319
Kareem Abdul-Jabbar,1978,Los Angeles Lakers,30,NBA,C,1600,269
Kareem Abdul-Jabbar,1979,Los Angeles Lakers,31,NBA,C,1903,431
Kareem Abdul-Jabbar,1980,Los Angeles Lakers,32,NBA,C,2034,371
Kareem Abdul-Jabbar,1981,Los Angeles Lakers,33,NBA,C,2095,272
Kareem Abdul-Jabbar,1982,Los Angeles Lakers,34,NBA,C,1818,225
Kareem Abdul-Jabbar,1983,Los Angeles Lakers,35,NBA,C,1722,200
Kareem Abdul-Jabbar,1984,Los Angeles Lakers,36,NBA,C,1717,211
Kareem Abdul-Jabbar,1985,Los Angeles Lakers,37,NBA,C,1735,249
Kareem Abdul-Jabbar,1986,Los Angeles Lakers,38,NBA,C,1846,280
Kareem Abdul-Jabbar,1987,Los Angeles Lakers,39,NBA,C,1366,203
Kareem Abdul-Jabbar,1988,Los Angeles Lakers,40,NBA,C,1165,135
Kareem Abdul-Jabbar,1989,Los Angeles Lakers,41,NBA,C,748,74
Mahdi Abdul-Rahman,1965,Los Angeles Lakers,22,NBA,SG,280,140
Mahdi Abdul-Rahman,1966,Los Angeles Lakers,23,NBA,SG,1098,393
Mahdi Abdul-Rahman,1967,Los Angeles Lakers,24,NBA,PG,731,323
Mahdi Abdul-Rahman,1968,Oklahoma City Thunder,25,NBA,PG,1894,493
Mahdi Abdul-Rahman,1969,Atlanta Hawks,26,NBA,PG,898,474
Mahdi Abdul-Rahman,1970,Atlanta Hawks,27,NBA,PG,1253,561
Mahdi Abdul-Rahman,1971,Atlanta Hawks,28,NBA,PG,1349,514
Mahdi Abdul-Rahman,1972,Los Angeles Clippers,29,NBA,PG,1137,406
Mahdi Abdul-Rahman,1973,TOT,30,NBA,PG,261,129
Mahdi Abdul-Rahman,1974,Oklahoma City Thunder,31,NBA,PG,186,122
Mahmoud Abdul-Rauf,1991,Denver Nuggets,21,NBA,PG,942,206
Mahmoud Abdul-Rauf,1992,Denver Nuggets,22,NBA,PG,837,192
Mahmoud Abdul-Rauf,1993,Denver Nuggets,23,NBA,PG,1553,344
Mahmoud Abdul-Rauf,1994,Denver Nuggets,24,NBA,PG,1437,362
Mahmoud Abdul-Rauf,1995,Denver Nuggets,25,NBA,PG,1165,263
Mahmoud Abdul-Rauf,1996,Denver Nuggets,26,NBA,PG,1095,389
Mahmoud Abdul-Rauf,1997,Sacramento Kings,27,NBA,PG,1031,189
Mahmoud Abdul-Rauf,1998,Sacramento Kings,28,NBA,PG,227,58
Mahmoud Abdul-Rauf,2001,Memphis Grizzlies,31,NBA,PG,266,76
Tariq Abdul-Wahad,1998,Sacramento Kings,23,NBA,SG,376,51
Tariq Abdul-Wahad,1999,Sacramento Kings,24,NBA,SG,454,50
Tariq Abdul-Wahad,2000,TOT,25,NBA,SG,697,98
Tariq Abdul-Wahad,2001,Denver Nuggets,26,NBA,SG,111,22
Tariq Abdul-Wahad,2002,TOT,27,NBA,SG,135,24
Tariq Abdul-Wahad,2003,Dallas Mavericks,28,NBA,SG,57,21
Shareef Abdur-Rahim,1997,Memphis Grizzlies,20,NBA,PF,1494,175
Shareef Abdur-Rahim,1998,Memphis Grizzlies,21,NBA,SF,1829,213
Shareef Abdur-Rahim,1999,Memphis Grizzlies,22,NBA,SF,1152,172
