Subspace,Breakdown,Ce,Insight_type,Imp,Sig,Score
"{'Year': '*', 'Brand': '*', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,1.0,1.0,1.0
"{'Year': '*', 'Brand': '*', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('prev', 'Year')]",Shape,1.0,[0.72056514],[0.72056514]
"{'Year': '2008', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.2039496540607491,1.0,0.2039496540607491
"{'Year': '2008', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.2039496540607491,1.0,0.2039496540607491
"{'Year': '2011', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.20357012262879526,1.0,0.20357012262879526
"{'Year': '2011', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.20357012262879526,1.0,0.20357012262879526
"{'Year': '2010', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.18968328649404556,1.0,0.18968328649404556
"{'Year': '2010', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.18968328649404556,1.0,0.18968328649404556
"{'Year': '2009', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.1726621684893299,1.0,0.1726621684893299
"{'Year': '2009', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.1726621684893299,1.0,0.1726621684893299
"{'Year': '2011', 'Brand': '*', 'Category': 'SUV'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.07065274114752058,1.0,0.07065274114752058
"{'Year': '2010', 'Brand': '*', 'Category': 'SUV'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.060998912131539754,1.0,0.060998912131539754
"{'Year': '2011', 'Brand': 'Ford', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.05912283169861117,1.0,0.05912283169861117
"{'Year': '2008', 'Brand': '*', 'Category': 'SUV'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.05703965118141931,1.0,0.05703965118141931
"{'Year': '2008', 'Brand': '*', 'Category': 'Midsize'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.0549670993689925,1.0,0.0549670993689925
"{'Year': '2008', 'Brand': 'Toyota', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.053978857909635754,1.0,0.053978857909635754
"{'Year': '2011', 'Brand': '*', 'Category': 'Midsize'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.05281061272065282,1.0,0.05281061272065282
"{'Year': '2010', 'Brand': '*', 'Category': 'Midsize'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.05208567119221406,1.0,0.05208567119221406
"{'Year': '2009', 'Brand': '*', 'Category': 'SUV'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.049827960956433805,1.0,0.049827960956433805
"{'Year': '2009', 'Brand': '*', 'Category': 'Midsize'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.04812568037395524,1.0,0.04812568037395524
"{'Year': '2010', 'Brand': 'Ford', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.048091923972555496,1.0,0.048091923972555496
"{'Year': '2008', 'Brand': 'Ford', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.04675334580677982,1.0,0.04675334580677982
"{'Year': '2008', 'Brand': 'Honda', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.04632828884969497,1.0,0.04632828884969497
"{'Year': '2008', 'Brand': '*', 'Category': 'Subcompact'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.044970734112321595,1.0,0.044970734112321595
"{'Year': '2009', 'Brand': 'Toyota', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.0443204672177901,1.0,0.0443204672177901
"{'Year': '2010', 'Brand': 'Toyota', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.04312143071671956,1.0,0.04312143071671956
