Subspace,Breakdown,Ce,Insight_type,Imp,Sig,Score
"{'Year': '*', 'Brand': '*', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('%', 'Year')]",Point,1.0,1.0,1.0
"{'Year': '*', 'Brand': '*', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('prev', 'Year')]",Point,1.0,1.0,1.0
"{'Year': '*', 'Brand': '*', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('rank', 'Year')]",Point,1.0,1.0,1.0
"{'Year': '*', 'Brand': '*', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('avg', 'Year')]",Point,1.0,1.0,1.0
"{'Year': '*', 'Brand': '*', 'Category': 'SUV'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('rank', 'Year')]",Point,0.31261753157865735,1.0,0.31261753157865735
"{'Year': '*', 'Brand': '*', 'Category': 'SUV'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('%', 'Year')]",Point,0.31261753157865735,1.0,0.31261753157865735
"{'Year': '*', 'Brand': '*', 'Category': 'SUV'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('prev', 'Year')]",Point,0.31261753157865735,1.0,0.31261753157865735
"{'Year': '*', 'Brand': '*', 'Category': 'Midsize'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('rank', 'Year')]",Point,0.265344017873011,1.0,0.265344017873011
"{'Year': '*', 'Brand': '*', 'Category': 'Midsize'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('prev', 'Year')]",Point,0.265344017873011,1.0,0.265344017873011
"{'Year': '*', 'Brand': '*', 'Category': 'Midsize'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('%', 'Year')]",Point,0.265344017873011,1.0,0.265344017873011
"{'Year': '*', 'Brand': '*', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('avg', 'Year')]",Shape,1.0,[0.25115469],[0.25115469]
"{'Year': '*', 'Brand': 'Ford', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('rank', 'Year')]",Point,0.2504196285628057,1.0,0.2504196285628057
