Subspace,Breakdown,Ce,Insight_type,Imp,Sig,Score
"{'Year': '2011', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('%', 'Year')]",Point,0.20357012262879526,0.9999393354782147,0.2035577731446562
"{'Year': '2011', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('avg', 'Year')]",Point,0.20357012262879526,0.9999999999708264,0.2035701226228564
"{'Year': '2011', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('rank', 'Year')]",Point,0.20357012262879526,0.9999999999999971,0.20357012262879468
"{'Year': '2011', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.20357012262879526,1.0,0.20357012262879526
"{'Year': '2011', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('%', 'Brand')]",Point,0.20357012262879526,1.0,0.20357012262879526
"{'Year': '2011', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('avg', 'Category')]",Point,0.20357012262879526,1.0,0.20357012262879526
"{'Year': '2011', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('avg', 'Year')]",Point,0.20357012262879526,1.0,0.20357012262879526
"{'Year': '2011', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('rank', 'Brand')]",Point,0.20357012262879526,1.0,0.20357012262879526
"{'Year': '2011', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('rank', 'Category')]",Point,0.20357012262879526,1.0,0.20357012262879526
"{'Year': '2011', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('rank', 'Year')]",Point,0.20357012262879526,1.0,0.20357012262879526
"{'Year': '2011', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('avg', 'Brand')]",Point,0.20357012262879526,1.0,0.20357012262879526
"{'Year': '2011', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('%', 'Category')]",Point,0.20357012262879526,1.0,0.20357012262879526
"{'Year': '2008', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('rank', 'Year')]",Point,0.2039496540607491,0.999999213143651,0.20394949358166894
"{'Year': '2008', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('%', 'Year')]",Point,0.2039496540607491,0.9999999409607283,0.20394964201971008
"{'Year': '2008', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('%', 'Year')]",Point,0.2039496540607491,0.9999999645883269,0.20394964683855063
"{'Year': '2008', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('avg', 'Year')]",Point,0.2039496540607491,0.9999999999964362,0.20394965406002227
"{'Year': '2008', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('avg', 'Year')]",Point,0.2039496540607491,1.0,0.2039496540607491
"{'Year': '2008', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('rank', 'Year')]",Point,0.2039496540607491,1.0,0.2039496540607491
"{'Year': '2008', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('rank', 'Brand')]",Point,0.2039496540607491,1.0,0.2039496540607491
"{'Year': '2008', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('avg', 'Category')]",Point,0.2039496540607491,1.0,0.2039496540607491
"{'Year': '2008', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('avg', 'Brand')]",Point,0.2039496540607491,1.0,0.2039496540607491
"{'Year': '2008', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('rank', 'Category')]",Point,0.2039496540607491,1.0,0.2039496540607491
"{'Year': '2008', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.2039496540607491,1.0,0.2039496540607491
"{'Year': '2008', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('%', 'Brand')]",Point,0.2039496540607491,1.0,0.2039496540607491
"{'Year': '2008', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.2039496540607491,1.0,0.2039496540607491
"{'Year': '2008', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('%', 'Category')]",Point,0.2039496540607491,1.0,0.2039496540607491
"{'Year': '*', 'Brand': 'Ford', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('avg', 'Brand')]",Point,0.2504196285628057,0.8277063730424807,0.20727392249636512
"{'Year': '2007', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('%', 'Year')]",Point,0.23013476832708019,0.9999995829874673,0.2301346723579976
"{'Year': '2007', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('rank', 'Year')]",Point,0.23013476832708019,0.9999999708726208,0.23013476162385751
"{'Year': '2007', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('avg', 'Brand')]",Point,0.23013476832708019,1.0,0.23013476832708019
"{'Year': '2007', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('avg', 'Year')]",Point,0.23013476832708019,1.0,0.23013476832708019
"{'Year': '2007', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('avg', 'Year')]",Point,0.23013476832708019,1.0,0.23013476832708019
"{'Year': '2007', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('rank', 'Year')]",Point,0.23013476832708019,1.0,0.23013476832708019
"{'Year': '2007', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('rank', 'Brand')]",Point,0.23013476832708019,1.0,0.23013476832708019
"{'Year': '2007', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('rank', 'Category')]",Point,0.23013476832708019,1.0,0.23013476832708019
