country,count
Iraq,617
Afghanistan,155
Thailand,155
India,146
Sri Lanka,133
Algeria,104
Pakistan,77
Nepal,70
Russia,64
West Bank and Gaza Strip,53
Colombia,42
Turkey,41
France,33
United Kingdom,29
Israel,28
Philippines,25
Spain,24
Bangladesh,23
United States,21
Lebanon,17
Indonesia,15
Uganda,11
Nigeria,9
Kosovo,8
Myanmar,8
Yemen,7
Georgia,6
Greece,6
Italy,6
Somalia,6
Sudan,6
Burundi,5
Democratic Republic of the Congo,5
Ethiopia,5
Iran,5
Guinea-Bissau,4
Jordan,4
Argentina,3
Germany,3
Sweden,3
Egypt,2
Kenya,2
Kuwait,2
Kyrgyzstan,2
Peru,2
Serbia-Montenegro,2
Trinidad and Tobago,2
Uzbekistan,2
Bolivia,1
Bosnia-Herzegovina,1
China,1
Croatia,1
East Timor,1
Guinea,1
Haiti,1
Hong Kong,1
Ivory Coast,1
Mali,1
Mauritania,1
Mexico,1
Qatar,1
Rwanda,1
Saudi Arabia,1
Senegal,1
Tajikistan,1
Togo,1
Uruguay,1
