Subspace,Breakdown,Ce,Insight_type,Imp,Sig,Score,Key,Value
"{year: *, region: *}",year,"[(SUM, count), (prev, year)]",Point,1.0,1.0,1.0,"[2014, 2013, 2012, 2008, 1979, 2005, 1991, 2006, 1984, 1989, 1988, 2007, 1999, 2000, 1977, 1992, 1983, 1987, 2011, 1978, 1976, 1975, 1997, 1974, 2010, 1972, 2001, 1970, 1980, 1996, 1982, 2003, 1986, 1981, 2009, 1973, 2004, 1971, 1995, 1990, 1985, 2002, 2016, 2019, 2018, 1994, 2015, 1998, 2017]","[4914, 3524, 3445, 1554, 1136, 853, 797, 740, 625, 604, 537, 490, 462, 427, 396, 388, 327, 323, 250, 207, 183, 159, 140, 108, 104, 97, 89, 0, -1, -23, -43, -52, -54, -75, -79, -95, -114, -180, -375, -438, -581, -582, -1087, -1345, -1518, -1615, -1826, -2264, -2688]"
"{year: *, region: *}",year,"[(SUM, count), (rank, year)]",Point,1.0,1.0,1.0,"[1971, 1973, 1972, 1974, 1970, 1975, 1976, 1998, 2004, 2003, 1977, 2002, 1999, 1978, 2000, 2001, 2005, 1982, 1981, 1980, 1979, 2006, 1986, 1983, 1985, 1996, 1995, 1987, 1997, 2007, 1994, 1984, 1988, 1990, 1989, 1991, 2009, 2008, 2010, 1992, 2011, 2019, 2012, 2018, 2017, 2013, 2016, 2015, 2014]","[49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]"
"{year: *, region: *}",region,"[(SUM, count), (%, region)]",Point,1.0,1.0,1.0,"[Middle East & North Africa, South Asia, Sub-Saharan Africa, South America, Western Europe, Southeast Asia, Central America & Caribbean, Eastern Europe, North America, East Asia, Central Asia, Australasia & Oceania]","[0.2804, 0.255, 0.1081, 0.0973, 0.0847, 0.07, 0.0516, 0.0262, 0.0184, 0.0041, 0.0029, 0.0015]"
"{year: *, region: *}",region,"[(SUM, count), (rank, region)]",Point,1.0,1.0,1.0,"[Australasia & Oceania, Central Asia, East Asia, North America, Eastern Europe, Central America & Caribbean, Southeast Asia, Western Europe, South America, Sub-Saharan Africa, South Asia, Middle East & North Africa]","[12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]"
"{year: *, region: *}",region,"[(SUM, count), (avg, region)]",Point,1.0,1.0,1.0,"[Middle East & North Africa, South Asia, Sub-Saharan Africa, South America, Western Europe, Southeast Asia, Central America & Caribbean, Eastern Europe, North America, East Asia, Central Asia, Australasia & Oceania]","[39648.75, 34535.75, 4976.75, 2806.75, 267.75, -2686.25, -6391.25, -11499.25, -13067.25, -15940.25, -16191.25, -16460.25]"
"{year: *, region: *}",year,"[(SUM, count), (avg, year)]",Point,1.0,1.0,1.0,"[2014, 2015, 2016, 2013, 2017, 2018, 2012, 2019, 2011, 1992, 2010, 2008, 2009, 1991, 1989, 1990, 1988, 1984, 1994, 2007, 1997, 1987, 1995, 1996, 1985, 1983, 1986, 2006, 1979, 1980, 1981, 1982, 2005, 2001, 2000, 1978, 1999, 2002, 1977, 2003, 2004, 1998, 1976, 1975, 1970, 1974, 1972, 1973, 1971]","[12853.224489795917, 11027.224489795917, 9940.224489795917, 7939.224489795918, 7252.224489795918, 5734.224489795918, 4415.224489795918, 4389.224489795918, 970.2244897959181, 965.2244897959181, 720.2244897959181, 695.2244897959181, 616.2244897959181, 577.2244897959181, 218.2244897959181, -219.7755102040819, -385.7755102040819, -610.7755102040819, -649.7755102040819, -858.7755102040819, -907.7755102040819, -922.7755102040819, -1024.775510204082, -1047.775510204082, -1191.775510204082, -1235.775510204082, -1245.775510204082, -1348.775510204082, -1443.775510204082, -1444.775510204082, -1519.775510204082, -1562.775510204082, -2088.775510204082, -2193.775510204082, -2282.775510204082, -2579.775510204082, -2709.775510204082, -2775.775510204082, -2786.775510204082, -2827.775510204082, -2941.775510204082, -3171.775510204082, -3182.775510204082, -3365.775510204082, -3454.775510204082, -3524.775510204082, -3537.775510204082, -3632.775510204082, -3634.775510204082]"
"{year: *, region: *}",year,"[(SUM, count), (%, year)]",Point,1.0,1.0,1.0,"[2014, 2015, 2016, 2013, 2017, 2018, 2012, 2019, 1992, 2011, 2010, 2008, 2009, 1991, 1989, 1990, 1988, 1984, 1994, 2007, 1997, 1987, 1995, 1996, 1985, 1983, 1986, 2006, 1979, 1980, 1981, 1982, 2005, 2001, 2000, 1978, 1999, 1977, 2002, 2003, 2004, 1976, 1998, 1975, 1970, 1974, 1972, 1973, 1971]","[0.0843, 0.0752, 0.0698, 0.0599, 0.0565, 0.0489, 0.0424, 0.0422, 0.0252, 0.0252, 0.024, 0.0239, 0.0235, 0.0233, 0.0215, 0.0193, 0.0185, 0.0174, 0.0172, 0.0161, 0.0159, 0.0158, 0.0153, 0.0152, 0.0145, 0.0143, 0.0142, 0.0137, 0.0132, 0.0132, 0.0129, 0.0126, 0.01, 0.0095, 0.0091, 0.0076, 0.0069, 0.0066, 0.0066, 0.0064, 0.0058, 0.0046, 0.0046, 0.0037, 0.0032, 0.0029, 0.0028, 0.0024, 0.0023]"
"{year: *, region: *}",year,"[(SUM, count), (avg, year)]",Shape,0.48802,1.0,0.48802,"[2014, 2015, 2016, 2013, 2017, 2018, 2012, 2019, 2011, 1992, 2010, 2008, 2009, 1991, 1989, 1990, 1988, 1984, 1994, 2007, 1997, 1987, 1995, 1996, 1985, 1983, 1986, 2006, 1979, 1980, 1981, 1982, 2005, 2001, 2000, 1978, 1999, 2002, 1977, 2003, 2004, 1998, 1976, 1975, 1970, 1974, 1972, 1973, 1971]","[12853.224489795917, 11027.224489795917, 9940.224489795917, 7939.224489795918, 7252.224489795918, 5734.224489795918, 4415.224489795918, 4389.224489795918, 970.2244897959181, 965.2244897959181, 720.2244897959181, 695.2244897959181, 616.2244897959181, 577.2244897959181, 218.2244897959181, -219.7755102040819, -385.7755102040819, -610.7755102040819, -649.7755102040819, -858.7755102040819, -907.7755102040819, -922.7755102040819, -1024.775510204082, -1047.775510204082, -1191.775510204082, -1235.775510204082, -1245.775510204082, -1348.775510204082, -1443.775510204082, -1444.775510204082, -1519.775510204082, -1562.775510204082, -2088.775510204082, -2193.775510204082, -2282.775510204082, -2579.775510204082, -2709.775510204082, -2775.775510204082, -2786.775510204082, -2827.775510204082, -2941.775510204082, -3171.775510204082, -3182.775510204082, -3365.775510204082, -3454.775510204082, -3524.775510204082, -3537.775510204082, -3632.775510204082, -3634.775510204082]"
"{year: *, region: Middle East & North Africa}",year,"[(SUM, count), (rank, year)]",Point,1.0,0.28041,0.28041,"[2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000, 1999, 1998, 1997, 1996, 1995, 1994, 1992, 1991, 1990, 1989, 1988, 1987, 1986, 1985, 1984, 1983, 1982, 1981, 1980, 1979, 1978, 1977, 1976, 1975, 1974, 1973, 1972, 1971, 1970]","[49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]"
"{year: *, region: Middle East & North Africa}",year,"[(SUM, count), (rank, region)]",Point,0.99999,0.28041,0.28041,"[1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
